t_rel_s,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6
1.0049,-1.7555378714197654,-1.9582312300597242,1.8412439443238453,-1.4839114566594098,-1.5800338530278208,2.8711901498858596
1.0050,-1.7555917074950655,-1.9590954149826831,1.8428591096379772,-1.4848292794151874,-1.5801677434294281,2.8711015703024763
1.0051,-1.755643178794449,-1.9598938795973189,1.8443635968475236,-1.4856865750954105,-1.580295044725024,2.87101873956382
1.0053,-1.7556923782308873,-1.960628847341371,1.8457538074845519,-1.486483455718545,-1.5804159827475908,2.8709412723221237
1.0054,-1.7557393971944988,-1.9613032120245029,1.8470297827371824,-1.4872210992424175,-1.580530792896807,2.87086880703558
1.0055,-1.7557843252492125,-1.9619203121343394,1.8481942947131658,-1.4879014830547321,-1.5806397166849049,2.8708010050493886
1.0057,-1.7558272498855962,-1.9624837485374274,1.8492520640491863,-1.4885271566304157,-1.5807429987854695,2.8707375495945517
1.0058,-1.7558682563233519,-1.9629972409017566,1.850209111535803,-1.4891010524740775,-1.5808408845368611,2.8706781447352165
1.0059,-1.7559074273575177,-1.9634645176024013,1.8510722387995209,-1.4896263326411396,-1.580933617853121,2.870622514289404
1.0060,-1.7559448432435703,-1.9640287206009988,1.8528269601388994,-1.4905172952957335,-1.5810214396523248,2.870653312683979
1.0062,-1.755980581613286,-1.9645428867646744,1.8544278643726684,-1.4913388689593996,-1.5811045859775468,2.870681978220577
1.0063,-1.7560147174233596,-1.9650107534679635,1.8558787723821617,-1.4920936147152886,-1.5811832873497504,2.870708689849754
1.0106,-1.7560473229262477,-1.9654359845769709,1.8571865480778558,-1.4927847711464466,-1.5812577677231343,2.8707336090445894
1.0143,-1.7560784676629282,-1.9658221116193175,1.858360024485298,-1.4934160148916118,-1.5813282438135194,2.8707568817377966
1.0183,-1.756108218473696,-1.9661724937328227,1.859409158325388,-1.4939912688791468,-1.5813949246076862,2.8707786400192803
1.0224,-1.7561366395241484,-1.9664902924453553,1.8603443889590363,-1.494514552714254,-1.5814580110268392,2.8707990036267983
1.0263,-1.7561637923438278,-1.9667784579291685,1.8611761708932468,-1.4949898692016503,-1.581517695720335,2.8708180812575006
1.0303,-1.7561897358752967,-1.9670397239379842,1.8619146478210133,-1.495421121049726,-1.5815741629685616,2.8708359717240675
