t_rel_s,fx,fy,fz,tx,ty,tz
3.3524,-0.44617,3.47588,-0.03924,0.17896,0.13266,0.09396
3.3624,-0.86652,4.44833,-0.03881,0.16350,0.10106,0.09280
3.3729,-1.04840,4.36978,-0.30690,0.16069,0.11315,0.09481
3.3827,-0.93973,3.52376,-0.35096,0.19160,0.11137,0.09179
3.3925,-1.16790,3.96395,-0.48370,0.16340,0.10361,0.09229
3.4025,-0.96295,4.09013,-0.78263,0.17281,0.11702,0.09888
3.4125,-1.16088,3.46794,-0.66913,0.18406,0.09740,0.09618
3.4226,-1.52671,4.26767,-0.66606,0.15277,0.09189,0.09446
3.4324,-1.35540,3.98708,-1.04672,0.17292,0.10875,0.09386
3.4426,-1.54167,3.82279,-0.76708,0.17233,0.07998,0.09129
3.4523,-1.25878,4.12549,-0.93482,0.17339,0.07573,0.09400
3.4625,-1.43408,4.16128,-1.03529,0.15328,0.10343,0.09057
3.4724,-1.25165,3.80628,-0.97538,0.17866,0.09801,0.09228
3.4826,-1.62071,4.20499,-0.97677,0.16966,0.09064,0.09550
3.4924,-1.01469,3.91278,-0.90727,0.17769,0.09836,0.09104
3.5026,-1.41984,3.96711,-0.58901,0.16897,0.09860,0.09555
3.5125,-1.39171,4.45646,-1.09149,0.16640,0.08876,0.09823
3.5224,-1.35607,4.15199,-1.08757,0.16034,0.09017,0.09368
3.5324,-1.11562,3.99236,-0.77924,0.16264,0.09165,0.09678
3.5424,-0.80553,3.58266,-0.75000,0.16245,0.10037,0.09767
3.5523,-1.06305,4.13471,-0.89259,0.16991,0.10525,0.09491
3.5625,-1.18044,3.72066,-0.79869,0.16748,0.11469,0.09075
3.5726,-0.84651,3.38183,-0.47525,0.18346,0.10080,0.09231
3.5826,-1.21448,3.61329,-0.60235,0.16333,0.09696,0.09237
3.5927,-1.02648,3.76511,-0.72961,0.17029,0.10234,0.09385
3.6026,-1.11294,3.77281,-0.41164,0.18244,0.11775,0.09639
3.6123,-0.69932,3.41462,-0.34361,0.18148,0.10835,0.09471
3.6226,-0.65483,3.95452,-0.76816,0.16998,0.10687,0.09190
3.6327,-0.96557,3.65791,-0.47096,0.17466,0.10055,0.09260
3.6425,-1.02495,3.82410,-0.25780,0.16905,0.11079,0.09258
3.6524,-1.23476,3.93692,-0.20543,0.17571,0.11617,0.09195
3.6624,-0.94845,3.85924,-0.52952,0.17979,0.09314,0.09197
3.6725,-0.54657,3.70203,-0.70084,0.18084,0.10347,0.08801
3.6825,-0.95073,3.77860,-0.50667,0.17282,0.10407,0.09341
3.6926,-0.98036,4.00511,-0.49447,0.17129,0.10279,0.09142
3.7024,-0.91766,3.99308,-0.74310,0.16659,0.10823,0.08288
3.7127,-0.88663,3.89158,-0.75015,0.17962,0.10998,0.08664
3.7228,-0.64334,3.76244,-0.91410,0.16213,0.09979,0.09036
3.7325,-1.01388,3.96794,-0.99413,0.16471,0.09954,0.08502
3.7425,-0.94283,3.93310,-0.80362,0.17898,0.10433,0.08306
3.7526,-0.92450,4.11089,-0.88296,0.16629,0.11317,0.07660
3.7625,-0.80331,4.05060,-0.63994,0.17320,0.10252,0.07221
3.7726,-1.06802,4.15901,-0.66932,0.17938,0.10474,0.06414
3.7826,-0.97015,4.05888,-0.57399,0.16661,0.10245,0.05173
3.7926,-1.09206,4.07159,-0.76728,0.16943,0.10947,0.04367
3.8026,-0.63911,4.01486,-0.66176,0.17446,0.11641,0.02997
3.8125,-1.05845,3.94792,-0.61551,0.18093,0.11174,0.01189
3.8229,-0.55921,3.80387,-0.60430,0.17817,0.11128,0.00476
3.8326,-0.48688,4.01350,-0.76394,0.18442,0.10580,-0.00122
3.8426,-0.46527,3.69185,-0.64492,0.18140,0.10711,-0.01255
3.8526,-0.81584,3.70952,-0.66522,0.18326,0.11123,-0.02078
3.8627,-0.86969,3.85173,-0.76646,0.17505,0.11422,-0.02085
3.8724,-0.83919,3.81059,-0.83219,0.18403,0.11394,-0.02235
3.8828,-0.44656,3.95704,-0.73049,0.18491,0.10788,-0.02481
3.8924,-0.73849,3.70275,-0.85839,0.17909,0.10258,-0.02208
3.9026,-0.77578,3.98483,-0.85259,0.18067,0.11079,-0.02332
3.9126,-0.47550,3.92566,-0.97422,0.18319,0.10105,-0.02436
3.9228,-0.80702,3.96791,-0.71996,0.17625,0.10852,-0.01996
3.9326,-0.61590,3.79764,-0.87241,0.17218,0.10445,-0.01675
3.9425,-0.49325,3.99546,-0.73678,0.17286,0.10217,-0.01572
3.9525,-0.77839,3.72592,-0.63443,0.17564,0.11430,-0.00996
3.9630,-0.71150,3.96744,-1.01739,0.17062,0.10294,-0.01649
3.9728,-0.59837,4.11135,-0.88233,0.16989,0.10330,-0.01016
3.9827,-0.79762,3.86870,-0.81089,0.17894,0.11645,-0.00238
3.9926,-0.46600,3.53331,-1.05819,0.18746,0.10529,-0.00242
4.0024,-0.49599,3.80087,-1.22532,0.16536,0.09099,0.01364
4.0125,-0.72119,3.84649,-0.98158,0.17048,0.10809,0.02155
4.0226,-0.65874,3.81370,-1.09780,0.16549,0.10754,0.03336
4.0323,-0.88514,4.31392,-1.20423,0.16301,0.11447,0.04075
4.0427,-0.65585,3.80152,-0.85068,0.16520,0.10523,0.05185
4.0522,-0.41488,3.63561,-0.81718,0.17865,0.11132,0.06329
4.0626,-0.62601,4.15428,-1.22273,0.16982,0.11119,0.07148
4.0727,-0.37956,3.55482,-1.11813,0.17382,0.10575,0.08270
4.0825,-0.40748,3.43240,-0.60296,0.17833,0.10732,0.09159
4.0923,-0.23114,3.36234,-0.66731,0.17480,0.13217,0.09295
4.1027,-0.07871,4.07393,-1.07735,0.15288,0.12075,0.09868
4.1128,-0.02801,3.51756,-0.53013,0.17203,0.12670,0.09022
4.1226,-0.12975,3.68740,-0.75795,0.17279,0.12462,0.09459
4.1324,0.13774,3.78731,-1.00556,0.15971,0.14139,0.09138
4.1427,-0.28000,2.99478,-0.64632,0.18219,0.12797,0.09066
4.1525,-0.42350,3.81290,-0.81875,0.16691,0.13689,0.08852
