t_rel_s,x,y,z,qx,qy,qz,qw
2.1991,0.174139,0.430384,0.590792,0.193713,0.980854,0.014765,0.013514
2.2097,0.173958,0.430687,0.589831,0.193338,0.980947,0.013848,0.013092
2.2190,0.173697,0.431166,0.588786,0.192745,0.981083,0.012825,0.012704
2.2290,0.173263,0.431859,0.587682,0.191893,0.981270,0.011735,0.012222
2.2393,0.172688,0.432814,0.586427,0.190703,0.981521,0.010456,0.011804
2.2491,0.171980,0.433954,0.585129,0.189244,0.981822,0.009087,0.011403
2.2590,0.171184,0.435337,0.583664,0.187507,0.982172,0.007521,0.011093
2.2690,0.170266,0.436836,0.582149,0.185612,0.982547,0.005857,0.010723
2.2794,0.169340,0.438474,0.580535,0.183580,0.982940,0.004053,0.010570
2.2894,0.168390,0.440130,0.578869,0.181501,0.983334,0.002118,0.010354
2.2994,0.167531,0.441752,0.577221,0.179461,0.983710,0.000135,0.010397
2.3094,0.166710,0.443261,0.575686,0.177552,0.984054,-0.001745,0.010484
2.3191,0.166002,0.444683,0.574181,0.175764,0.984366,-0.003677,0.010840
2.3294,0.165349,0.445924,0.572852,0.174116,0.984645,-0.005476,0.011277
2.3391,0.164813,0.447035,0.571688,0.172651,0.984885,-0.007131,0.011900
2.3492,0.164390,0.447995,0.570616,0.171392,0.985084,-0.008711,0.012558
2.3591,0.164032,0.448817,0.569678,0.170255,0.985258,-0.010151,0.013269
2.3693,0.163742,0.449537,0.568853,0.169306,0.985399,-0.011427,0.013887
2.3791,0.163539,0.450111,0.568192,0.168522,0.985512,-0.012503,0.014516
2.3892,0.163364,0.450622,0.567568,0.167813,0.985610,-0.013509,0.015122
2.3991,0.163144,0.451078,0.566999,0.167123,0.985706,-0.014447,0.015657
2.4090,0.162914,0.451506,0.566495,0.166449,0.985799,-0.015276,0.016161
2.4194,0.162673,0.451985,0.565942,0.165714,0.985901,-0.016138,0.016637
2.4293,0.162365,0.452519,0.565364,0.164926,0.986012,-0.017014,0.017056
2.4391,0.162028,0.453174,0.564669,0.164007,0.986141,-0.017987,0.017437
2.4495,0.161646,0.453880,0.563916,0.163080,0.986271,-0.019000,0.017719
2.4593,0.161229,0.454717,0.563053,0.162039,0.986418,-0.020059,0.017919
2.4693,0.160777,0.455570,0.562177,0.160999,0.986565,-0.021101,0.017993
2.4790,0.160319,0.456429,0.561311,0.159925,0.986716,-0.022095,0.018111
2.4894,0.159814,0.457272,0.560468,0.158872,0.986866,-0.022994,0.018086
2.4994,0.159334,0.458076,0.559683,0.157876,0.987006,-0.023810,0.018096
2.5092,0.158819,0.458783,0.558996,0.156935,0.987141,-0.024461,0.018060
2.5191,0.158350,0.459461,0.558346,0.156059,0.987266,-0.024990,0.018064
2.5292,0.157879,0.460053,0.557766,0.155266,0.987382,-0.025378,0.018026
2.5392,0.157460,0.460577,0.557245,0.154559,0.987486,-0.025638,0.018044
2.5495,0.157113,0.461050,0.556735,0.153967,0.987574,-0.025799,0.018038
2.5594,0.156792,0.461489,0.556249,0.153428,0.987658,-0.025804,0.018071
2.5696,0.156509,0.461884,0.555808,0.152943,0.987734,-0.025712,0.018123
2.5790,0.156317,0.462250,0.555364,0.152577,0.987794,-0.025556,0.018190
2.5893,0.156193,0.462629,0.554898,0.152266,0.987845,-0.025358,0.018300
2.5993,0.156107,0.463019,0.554421,0.151982,0.987892,-0.025112,0.018434
2.6094,0.156093,0.463432,0.553926,0.151730,0.987936,-0.024818,0.018561
2.6192,0.156143,0.463996,0.553355,0.151470,0.987981,-0.024463,0.018754
2.6293,0.156262,0.464692,0.552638,0.151172,0.988031,-0.024180,0.018880
2.6391,0.156408,0.465560,0.551805,0.150814,0.988091,-0.023858,0.019017
2.6490,0.156580,0.466488,0.550942,0.150451,0.988152,-0.023565,0.019111
2.6592,0.156767,0.467510,0.549973,0.150043,0.988217,-0.023359,0.019179
2.6691,0.156990,0.468533,0.549004,0.149686,0.988275,-0.023207,0.019169
2.6793,0.157196,0.469536,0.548000,0.149284,0.988337,-0.023198,0.019149
2.6894,0.157370,0.470509,0.546986,0.148893,0.988395,-0.023298,0.019047
2.6994,0.157517,0.471441,0.546055,0.148511,0.988452,-0.023398,0.018959
2.7093,0.157595,0.472303,0.545217,0.148084,0.988515,-0.023501,0.018880
2.7193,0.157670,0.473179,0.544381,0.147667,0.988575,-0.023626,0.018856
2.7294,0.157682,0.474067,0.543615,0.147177,0.988648,-0.023687,0.018811
