t_rel_s,gello_grip,grip_cmd,grip_pos
8.3241,0.0621,,0.0118
8.3242,0.0621,0.0621,0.0118
8.3573,0.1520,0.0621,0.0118
8.3575,0.1520,0.1520,0.0118
8.3907,0.2778,0.1520,0.0118
8.3909,0.2778,0.2778,0.0118
8.4238,0.4081,0.2778,0.0118
8.4241,0.4081,0.4081,0.0118
8.4571,0.5260,0.4081,0.0118
8.4573,0.5260,0.5260,0.0118
8.4585,0.5260,0.5260,0.0588
8.4906,0.6292,0.5260,0.0588
8.4907,0.6292,0.6292,0.0588
8.5239,0.7218,0.6292,0.0588
8.5240,0.7218,0.7218,0.0588
8.5573,0.7977,0.7218,0.0588
8.5575,0.7977,0.7977,0.0588
8.5909,0.8963,0.7977,0.0588
8.5910,0.8963,0.8963,0.0588
8.6240,0.8972,0.8963,0.0588
8.6574,0.9555,0.8963,0.0588
8.6576,0.9555,0.9555,0.0588
8.6591,0.9555,0.9555,0.1922
8.6906,0.9996,0.9555,0.1922
8.6908,0.9996,0.9996,0.1922
8.7241,1.0000,0.9996,0.1922
8.7573,1.0000,0.9996,0.1922
8.7908,1.0000,0.9996,0.1922
8.8240,1.0000,0.9996,0.1922
8.8577,1.0000,0.9996,0.1922
8.8581,1.0000,0.9996,0.3961
8.8906,1.0000,0.9996,0.3961
8.9240,1.0000,0.9996,0.3961
8.9577,1.0000,0.9996,0.3961
8.9907,1.0000,0.9996,0.3961
9.0240,1.0000,0.9996,0.3961
9.0572,1.0000,0.9996,0.3961
9.0581,1.0000,0.9996,0.5882
9.0906,1.0000,0.9996,0.5882
9.1238,1.0000,0.9996,0.5882
9.1573,1.0000,0.9996,0.5882
9.1905,1.0000,0.9996,0.5882
9.2240,1.0000,0.9996,0.5882
9.2573,1.0000,0.9996,0.5882
9.2582,1.0000,0.9996,0.7843
9.2906,1.0000,0.9996,0.7843
9.3241,1.0000,0.9996,0.7843
9.3572,1.0000,0.9996,0.7843
9.3907,1.0000,0.9996,0.7843
9.4242,1.0000,0.9996,0.7843
9.4571,1.0000,0.9996,0.7843
9.4581,1.0000,0.9996,0.8980
9.4905,1.0000,0.9996,0.8980
9.5239,1.0000,0.9996,0.8980
9.5573,1.0000,0.9996,0.8980
9.5906,1.0000,0.9996,0.8980
9.6242,1.0000,0.9996,0.8980
9.6574,1.0000,0.9996,0.8980
9.6584,1.0000,0.9996,0.8980
9.6920,1.0000,0.9996,0.8980
9.7241,1.0000,0.9996,0.8980
9.7572,1.0000,0.9996,0.8980
9.7906,1.0000,0.9996,0.8980
9.8239,1.0000,0.9996,0.8980
9.8573,1.0000,0.9996,0.8980
9.8580,1.0000,0.9996,0.8980
9.8905,1.0000,0.9996,0.8980
9.9240,1.0000,0.9996,0.8980
9.9573,1.0000,0.9996,0.8980
9.9906,1.0000,0.9996,0.8980
10.0240,1.0000,0.9996,0.8980
10.0572,1.0000,0.9996,0.8980
10.0582,1.0000,0.9996,0.8980
10.0908,1.0000,0.9996,0.8980
10.1240,1.0000,0.9996,0.8980
10.1572,1.0000,0.9996,0.8980
10.1906,1.0000,0.9996,0.8980
10.2241,1.0000,0.9996,0.8980
10.2576,1.0000,0.9996,0.8980
10.2582,1.0000,0.9996,0.8980
10.2907,1.0000,0.9996,0.8980
10.3242,1.0000,0.9996,0.8980
10.3574,1.0000,0.9996,0.8980
10.3906,1.0000,0.9996,0.8980
10.4241,1.0000,0.9996,0.8980
10.4578,1.0000,0.9996,0.8980
10.4581,1.0000,0.9996,0.8980
10.4907,1.0000,0.9996,0.8980
10.5240,1.0000,0.9996,0.8980
10.5571,1.0000,0.9996,0.8980
10.5909,1.0000,0.9996,0.8980
10.6242,1.0000,0.9996,0.8980
10.6574,1.0000,0.9996,0.8980
10.6580,1.0000,0.9996,0.8980
10.6906,1.0000,0.9996,0.8980
10.7239,1.0000,0.9996,0.8980
10.7572,1.0000,0.9996,0.8980
10.7906,1.0000,0.9996,0.8980
10.8240,1.0000,0.9996,0.8980
10.8573,1.0000,0.9996,0.8980
10.8582,1.0000,0.9996,0.8980
10.8919,1.0000,0.9996,0.8980
10.9240,1.0000,0.9996,0.8980
10.9571,1.0000,0.9996,0.8980
10.9906,1.0000,0.9996,0.8980
11.0240,1.0000,0.9996,0.8980
11.0570,1.0000,0.9996,0.8980
11.0582,1.0000,0.9996,0.8980
11.0907,1.0000,0.9996,0.8980
11.1241,1.0000,0.9996,0.8980
11.1574,1.0000,0.9996,0.8980
11.1908,1.0000,0.9996,0.8980
11.2240,1.0000,0.9996,0.8980
11.2572,1.0000,0.9996,0.8980
11.2584,1.0000,0.9996,0.8980
11.2905,1.0000,0.9996,0.8980
11.3241,1.0000,0.9996,0.8980
11.3574,1.0000,0.9996,0.8980
11.3906,1.0000,0.9996,0.8980
11.4241,1.0000,0.9996,0.8980
11.4572,1.0000,0.9996,0.8980
11.4580,1.0000,0.9996,0.8980
11.4937,1.0000,0.9996,0.8980
11.5239,1.0000,0.9996,0.8980
11.5572,1.0000,0.9996,0.8980
11.5906,1.0000,0.9996,0.8980
11.6240,1.0000,0.9996,0.8980
11.6570,1.0000,0.9996,0.8980
11.6581,1.0000,0.9996,0.8980
11.6908,1.0000,0.9996,0.8980
11.7239,1.0000,0.9996,0.8980
11.7573,1.0000,0.9996,0.8980
11.7906,1.0000,0.9996,0.8980
11.8239,1.0000,0.9996,0.8980
11.8573,1.0000,0.9996,0.8980
11.8581,1.0000,0.9996,0.8980
11.8906,1.0000,0.9996,0.8980
11.9242,1.0000,0.9996,0.8980
11.9574,1.0000,0.9996,0.8980
11.9932,1.0000,0.9996,0.8980
12.0240,1.0000,0.9996,0.8980
12.0573,1.0000,0.9996,0.8980
12.0584,1.0000,0.9996,0.8980
12.0909,1.0000,0.9996,0.8980
12.1240,1.0000,0.9996,0.8980
12.1572,1.0000,0.9996,0.8980
12.1906,1.0000,0.9996,0.8980
12.2242,1.0000,0.9996,0.8980
12.2573,1.0000,0.9996,0.8980
12.2580,1.0000,0.9996,0.8980
12.2907,1.0000,0.9996,0.8980
12.3240,1.0000,0.9996,0.8980
12.3572,1.0000,0.9996,0.8980
12.3907,1.0000,0.9996,0.8980
12.4239,1.0000,0.9996,0.8980
12.4571,1.0000,0.9996,0.8980
12.4582,1.0000,0.9996,0.8980
12.4908,1.0000,0.9996,0.8980
12.5239,1.0000,0.9996,0.8980
12.5572,1.0000,0.9996,0.8980
12.5906,1.0000,0.9996,0.8980
12.6239,1.0000,0.9996,0.8980
12.6573,1.0000,0.9996,0.8980
12.6581,1.0000,0.9996,0.8980
12.6905,1.0000,0.9996,0.8980
12.7240,1.0000,0.9996,0.8980
12.7572,1.0000,0.9996,0.8980
12.7910,1.0000,0.9996,0.8980
12.8240,1.0000,0.9996,0.8980
12.8575,1.0000,0.9996,0.8980
12.8581,1.0000,0.9996,0.8980
12.8907,1.0000,0.9996,0.8980
12.9240,1.0000,0.9996,0.8980
12.9572,1.0000,0.9996,0.8980
12.9906,1.0000,0.9996,0.8980
13.0240,1.0000,0.9996,0.8980
13.0572,1.0000,0.9996,0.8980
13.0579,1.0000,0.9996,0.8980
13.0905,1.0000,0.9996,0.8980
13.1239,1.0000,0.9996,0.8980
13.1573,1.0000,0.9996,0.8980
13.1906,1.0000,0.9996,0.8980
13.2240,1.0000,0.9996,0.8980
13.2573,1.0000,0.9996,0.8980
13.2583,1.0000,0.9996,0.8980
13.2906,1.0000,0.9996,0.8980
13.3241,1.0000,0.9996,0.8980
13.3572,1.0000,0.9996,0.8980
13.3906,1.0000,0.9996,0.8980
13.4238,1.0000,0.9996,0.8980
13.4572,1.0000,0.9996,0.8980
13.4583,1.0000,0.9996,0.8980
13.4906,1.0000,0.9996,0.8980
13.5241,1.0000,0.9996,0.8980
13.5571,1.0000,0.9996,0.8980
13.5906,1.0000,0.9996,0.8980
13.6241,1.0000,0.9996,0.8980
13.6572,1.0000,0.9996,0.8980
13.6583,1.0000,0.9996,0.8980
13.6907,1.0000,0.9996,0.8980
13.7242,1.0000,0.9996,0.8980
13.7574,1.0000,0.9996,0.8980
13.7907,1.0000,0.9996,0.8980
13.8240,1.0000,0.9996,0.8980
13.8572,1.0000,0.9996,0.8980
13.8579,1.0000,0.9996,0.8980
13.8906,1.0000,0.9996,0.8980
13.9239,1.0000,0.9996,0.8980
13.9574,1.0000,0.9996,0.8980
13.9910,1.0000,0.9996,0.8980
14.0238,1.0000,0.9996,0.8980
14.0573,1.0000,0.9996,0.8980
14.0582,1.0000,0.9996,0.8980
14.0906,1.0000,0.9996,0.8980
14.1239,1.0000,0.9996,0.8980
14.1574,1.0000,0.9996,0.8980
14.1907,1.0000,0.9996,0.8980
14.2240,1.0000,0.9996,0.8980
14.2571,1.0000,0.9996,0.8980
14.2582,1.0000,0.9996,0.8980
14.2906,1.0000,0.9996,0.8980
14.3241,1.0000,0.9996,0.8980
14.3574,1.0000,0.9996,0.8980
14.3906,1.0000,0.9996,0.8980
14.4241,1.0000,0.9996,0.8980
14.4574,1.0000,0.9996,0.8980
14.4583,1.0000,0.9996,0.8980
14.4908,1.0000,0.9996,0.8980
14.5241,1.0000,0.9996,0.8980
14.5575,1.0000,0.9996,0.8980
14.5906,1.0000,0.9996,0.8980
14.6241,1.0000,0.9996,0.8980
14.6573,1.0000,0.9996,0.8980
14.6580,1.0000,0.9996,0.8980
14.6906,1.0000,0.9996,0.8980
14.7239,1.0000,0.9996,0.8980
14.7572,1.0000,0.9996,0.8980
14.7908,1.0000,0.9996,0.8980
14.8238,1.0000,0.9996,0.8980
14.8571,1.0000,0.9996,0.8980
14.8580,1.0000,0.9996,0.8980
14.8905,1.0000,0.9996,0.8980
14.9239,1.0000,0.9996,0.8980
14.9572,1.0000,0.9996,0.8980
14.9905,1.0000,0.9996,0.8980
15.0238,1.0000,0.9996,0.8980
15.0571,1.0000,0.9996,0.8980
15.0580,1.0000,0.9996,0.8980
15.0907,1.0000,0.9996,0.8980
15.1240,1.0000,0.9996,0.8980
15.1590,1.0000,0.9996,0.8980
15.1906,1.0000,0.9996,0.8980
15.2240,1.0000,0.9996,0.8980
15.2573,1.0000,0.9996,0.8980
